Deployment Report
Timestamp,20260116_093501
Product,CWF
Source Type,BASELINE
Deployment Type,S2T
Target,Q:\Gaespino\scripts\s2t\Deploys\CWF\prod\S2T
Total Files Scanned,34
Product Filtered,32
Deployed Successfully,2
Errors,0

DEPLOYED FILES
Source File,Target File,Renamed,Old Name,New Name,Status,Similarity,Import Replacements,Filename Import Updates,Import Change Lines,Rename Change Lines
DffDataCollector.py,CWFDffDataCollector.py,Yes,DffDataCollector.py,CWFDffDataCollector.py,minimal_changes,99.6%,-,import GetTesterCurves → import CWFGetTesterCurves,-,36
CoreManipulation.py,CWFCoreManipulation.py,Yes,CoreManipulation.py,CWFCoreManipulation.py,minimal_changes,100.0%,import dpmChecks → import dpmChecksCWF,import dpmChecks → import dpmChecksCWF,59,59

DETAILED LINE CHANGES
File,Line,Change Type,Old Content,New Content
DffDataCollector.py,36,Filename Import Update,import GetTesterCurves as gtc,import CWFGetTesterCurves as gtc
CoreManipulation.py,59,Import Replacement,import dpmChecks as dpm,import dpmChecksCWF as dpm
CoreManipulation.py,59,Filename Import Update,import dpmChecksCWF as dpm,import dpmChecksCWFCWF as dpm

SKIPPED FILES
File,Reason,Status,Renamed,New Name
product_specific\cwf\ConfigFiles\CWFMasksDebug.json,Not selected,identical,No,-
Tools\utils.py,Not selected,identical,No,-
dpmChecks.py,Not selected,identical,Yes,dpmChecksCWF.py
Logger\ErrorReport_legacy.py,Not selected,new,No,-
product_specific\cwf\strategy.py,Not selected,identical,No,-
UI\System2TesterUI_Modern.py,Not selected,new,No,-
product_specific\cwf\functions.py,Not selected,identical,No,-
Logger\ErrorReportClass.py,Not selected,identical,No,-
product_specific\cwf\RegFiles\crdict_raw.json,Not selected,identical,No,-
ConfigsLoader.py,Not selected,identical,No,-
UI\DffDataUI.py,Not selected,identical,No,-
product_specific\cwf\ConfigFiles\CWFMasksConfig.json,Not selected,identical,No,-
product_specific\cwf\RegFiles\s2tmeshdata.json,Not selected,identical,No,-
Logger\ErrorReport_original_backup.py,Not selected,new,No,-
product_specific\cwf\ConfigFiles\CWFBurnInFuses.json,Not selected,identical,No,-
product_specific\cwf\ConfigFiles\CWFFuseFileConfigs.json,Not selected,identical,No,-
product_specific\cwf\RegFiles\s2tregdata.json,Not selected,identical,No,-
Tools\requests_unit_info.py,Not selected,identical,No,-
product_specific\cwf\mca_banks.py,Not selected,identical,No,-
product_specific\cwf\configs.py,Not selected,identical,No,-
SetTesterRegs.py,Not selected,identical,Yes,CWFSetTesterRegs.py
GetTesterCurves.py,Not selected,identical,Yes,CWFGetTesterCurves.py
UI\ExperimentsForm.py,Not selected,new,No,-
UI\System2TesterUI.py,Not selected,identical,No,-
product_specific\cwf\RegFiles\crdict.json,Not selected,identical,No,-
Logger\ErrorReport.py,Not selected,identical,No,-
Tools\portid2ip.py,Not selected,identical,No,-
product_specific\cwf\registers.py,Not selected,identical,No,-
managers\product_strategy.py,Not selected,identical,No,-
managers\frequency_manager.py,Not selected,identical,No,-
managers\voltage_manager.py,Not selected,identical,No,-
Logger\logger.py,Not selected,identical,No,-
